"x","y","V_M31","V_sig","Fe_H","r","theta","Fe_H_err"
-0.247877464,0.760629189,-39.2,3.3,-1.3,0.8,1.885828257,0.3
-0.313997067,0.247802022,-171.1,3,-0.7,0.4,2.473480617,0.2
-0.282599667,-0.100684795,371.3,3,-0.5,0.3,-2.799333588,0.3
-0.330201014,-0.500966357,-79.6,3,-0.9,0.6,-2.153561764,0.2
-0.324694179,3.38446062,-79.3,3.1,-1.8,3.4,1.66644037,0.2
-0.399498284,0.020028002,251.8,38.8,-2.4,0.4,3.091501704,0.9
-0.41096895,0.800690029,-326.7,17,-1.2,0.9,2.045002284,0.2
-0.415001938,3.676652471,80.7,10.2,-1.5,3.7,1.683195531,0.2
-0.57806619,0.160746631,-24.1,3.1,-0.5,0.6,2.870368488,0.3
-0.621395381,-1.582361457,-374.7,3.1,-1.2,1.7,-1.944994918,0.2
-0.631759339,3.747116243,128.9,3,-1.4,3.8,1.737824336,0.2
-0.730548385,3.218120423,178.8,3,-0.7,3.3,1.794023938,0.2
-0.725424728,-0.82689719,-8.5,3.1,-1.2,1.1,-2.290919176,0.4
-0.755933349,-5.245814024,-199.1,3.3,-0.8,5.3,-1.713913326,0.3
-0.780946037,-0.173560617,275.1,3.1,-1,0.8,-2.922902899,0.2
-0.816131111,5.540210286,132.6,3.1,-1,5.6,1.717054918,0.2
-0.797291929,0.417523148,-35.3,3.1,-1.1,0.9,2.659183648,0.2
-0.888280615,4.104991784,248.8,3.1,-1.3,4.2,1.783901029,0.2
-0.933540116,10.35801636,19.3,17.6,-1.4,10.4,1.660680783,0.2
-0.99338575,2.61785881,-19.3,10,-0.8,2.8,1.933475745,0.2
-1.057470428,1.200731566,-44.7,3,-0.6,1.6,2.292839038,0.2
-1.099299612,0.481186412,166,3,-0.7,1.2,2.728996819,0.2
-1.104928796,7.822348264,115.3,16.8,-1.4,7.9,1.711120799,0.2
-1.22445492,-19.96248256,20.6,22.2,-0.7,20,-1.632057384,0.1
-1.230661889,-2.845254174,-117.4,3.1,-0.5,3.1,-1.979028839,0.2
-1.260158025,-3.372239872,-74.3,3,-1.2,3.6,-1.928414291,0.2
-1.286697701,-1.111039615,286.3,3.3,-2.6,1.7,-2.429323786,0.3
-1.300099705,-2.017359848,116.2,3,-0.8,2.4,-2.143264322,0.2
-1.27500173,2.033315172,-225.1,3,-1.2,2.4,2.130872484,0.2
-1.32758485,-3.346269336,-57.8,3.2,-2.8,3.6,-1.948485577,0.4
-1.321894705,-1.068922069,-150.3,3,-1.1,1.7,-2.461612377,0.2
-1.330921945,3.237073799,-4,10.6,-0.8,3.5,1.960877415,0.2
-1.391537016,1.831290455,165.2,3,-0.5,2.3,2.220582407,0.2
-1.463901834,-19.74580946,-16.5,3.6,-1.9,19.8,-1.644798287,0.1
-1.468404252,-1.205731709,236.6,3.1,-2,1.9,-2.454107461,0.2
-1.606592872,6.298321947,185.5,3.1,-0.6,6.5,1.820552943,0.2
-1.663770943,2.126468022,-58.3,3.3,-1.2,2.7,2.234719574,0.9
-1.676963258,-5.760884848,8.7,3.1,-0.7,6,-1.854063264,0.2
-1.752664442,4.789380686,201.1,5.1,-0.9,5.1,1.921607506,0.2
-1.813077615,1.246093721,16.3,3.5,-0.6,2.2,2.539454062,0.2
-1.89637203,1.470976929,-16.1,3,-0.8,2.4,2.481858196,0.2
-1.94051932,5.146298162,-190.3,3,-1,5.5,1.93138135,0.2
-1.971333639,-6.088829418,-233.5,3.1,-1.6,6.4,-1.883908395,0.2
-1.98475572,-2.381332554,-100,3.2,-1.2,3.1,-2.265611902,0.2
-1.982968416,1.165262314,151.7,3,-1.2,2.3,2.610314429,0.2
-2.042574244,0.487740154,155.6,3,-1,2.1,2.907194935,0.2
-2.042449791,-1.915306465,103.6,3,-0.9,2.8,-2.388308548,0.2
-2.054568844,2.956137153,36.3,3,-0.5,3.6,2.178170907,0.2
-2.258493474,-1.819122653,-56.3,3,-1,2.9,-2.463532239,0.2
-2.244747524,-3.189217546,114.5,3,-0.5,3.9,-2.184105026,0.2
-2.277054413,-0.324072833,147.9,3.4,-0.6,2.3,-3.000220984,0.2
-2.331829434,3.126111241,249.7,4.6,-1.6,3.9,2.211681228,0.3
-2.360750187,3.473738412,-37.5,18.5,-0.9,4.2,2.167698931,0.2
-2.453454539,1.894877523,66.6,4.4,-1.7,3.1,2.483952591,0.2
-2.515845851,4.087850248,212.4,3,-1.2,4.8,2.122494903,0.2
-2.638676215,-2.299432068,-101.3,3,-1.4,3.5,-2.42478593,0.2
-2.712166426,2.516774379,129.8,8.6,-0.8,3.7,2.393544536,0.2
-2.757830729,2.46665151,180.1,3,-1,3.7,2.411870493,0.2
-2.717657572,-1.871987532,-143.2,7.9,-0.5,3.3,-2.538406864,0.3
-2.766377404,-7.612959744,-20.5,3.1,-1.1,8.1,-1.919338578,0.2
-2.786656558,-4.030452236,-70.4,3.1,-1.5,4.9,-2.175727446,0.2
-2.772951572,3.54411337,298.4,8.3,-1,4.5,2.234719574,0.2
-2.800377315,2.994643033,-60.6,33.6,-1.4,4.1,2.322684168,0.3
-2.88682867,-1.380659346,-412.6,3,-1.1,3.2,-2.695486497,0.2
-2.982574168,-3.502035313,-46.4,3,-1.2,4.6,-2.276258411,0.2
-3.029193878,3.723437182,63.8,3,-0.8,4.8,2.253743663,0.2
-3.115395661,1.361730471,-63,3,-0.7,3.4,2.729520417,0.2
-3.143715375,-14.0526529,-42.7,10.6,-1.4,14.4,-1.790882346,0.2
-3.15274239,1.936547295,-79.3,3,-0.9,3.7,2.590766742,0.2
-3.152971126,3.210727811,104.4,3,-1.1,4.5,2.347118778,0.2
-3.150899651,4.629452601,35.8,3.2,-1.4,5.6,2.168397063,0.3
-3.190392456,-2.243077346,136.3,3,-1.3,3.9,-2.528807553,0.2
-3.290754075,0.246855457,-48.9,20.3,-1.8,3.3,3.066718029,0.3
-3.293243585,2.089149753,-172.8,3,-1,3.9,2.576280509,0.2
-3.380898444,0.905276594,163.8,3.5,-1.4,3.5,2.879967799,0.2
-3.353386631,-2.528793804,-103,3,-1.7,4.2,-2.495471765,0.2
-3.35859548,3.287831565,-271,3.5,-0.8,4.7,2.366840999,0.2
-3.387406207,2.309865622,25.8,15.2,-1.3,4.1,2.543119253,0.2
-3.50827897,3.562580339,142.3,3,-0.6,5,2.348515041,0.2
-3.699674957,1.767032884,284.6,3,-0.8,4.1,2.696010096,0.2
-3.704288354,1.757341113,39.8,16.8,-1.4,4.1,2.69862809,0.2
-3.831810243,0.726106231,80.2,3.3,-0.8,3.9,2.954318825,0.2
-3.91331296,-4.415425425,-206.2,3.1,-0.6,5.9,-2.295980631,0.2
-3.986614618,-9.605566297,-78,3.2,-2.1,10.4,-1.96419354,0.3
-4.036013638,3.278809831,13.6,3.8,-1.5,5.2,2.459343449,0.3
-4.195753397,3.858193027,-167.9,3,-1.1,5.7,2.398082392,0.2
-4.338208906,2.867044381,142.6,3.1,-1.5,5.2,2.557605486,0.2
-4.528404859,1.258391607,137.7,3.1,-0.5,4.7,2.870543021,0.2
-4.628811295,5.773569606,-136,3.8,-0.7,7.4,2.246587813,0.2
-4.657131227,5.091279676,280.8,4.5,-2.1,6.9,2.311688594,0.3
-4.750891352,-4.288243388,-273.5,3.2,-1.9,6.4,-2.407332637,0.2
-4.715441085,13.9231683,240.7,12.8,-1.4,14.7,1.89734743,0.2
-4.827987048,2.634490665,-5.7,3,-1,5.5,2.642079422,0.2
-4.993815638,-0.248606869,108.3,3.1,-1.9,5,-3.09185077,0.2
-4.960423461,6.276479832,228.6,11.6,-1.1,8,2.239606496,0.2
-5.195628745,3.000906854,95,3,-0.8,6,2.617819345,0.2
-5.156679345,10.83552759,165.3,15.5,-2,12,2.014982621,0.2
-5.596057799,0.21008833,211,3,-0.8,5.6,3.104068075,0.2
-5.649290605,3.007576376,207.8,3,-0.9,6.4,2.652376864,0.2
-6.207392914,-5.80674377,-93.8,3.2,-1.5,8.5,-2.389530279,0.3
-6.126443498,1.46856735,199.2,3.1,-1.8,6.3,2.90632227,0.2
-6.348382028,9.468793251,-52,14,-1.6,11.4,2.161415746,0.2
-6.448887646,0.813540487,257.9,3,-0.7,6.5,3.01610348,0.2
-6.450463185,4.385376232,54.2,11.3,-0.9,7.8,2.544515517,0.2
-6.858780501,-2.190235155,243.6,3.6,-1.5,7.2,-2.832494843,0.2
-7.00391258,3.199251253,3.2,29.3,-1.4,7.7,2.713114322,0.4
-7.105896624,10.03973272,73.7,8.8,-1.1,12.3,2.18672302,0.2
-7.536353178,6.724089587,84,7.9,-0.5,10.1,2.413092224,0.2
-7.599996413,9.415415791,136.1,15,-0.8,12.1,2.249903939,0.2
-7.642669468,8.187160888,-340,14.4,-1.4,11.2,2.321811504,0.2
-7.700970114,5.390274511,101,7.5,-0.9,9.4,2.530901948,0.2
-7.922454635,-8.609570986,81.9,10.9,-1.5,11.7,-2.314655654,0.2
-7.873817863,-3.202029397,338.9,17.8,-2.1,8.5,-2.75535129,0.4
-8.156878161,8.526742559,52.7,15.5,-1.6,11.8,2.334028809,0.3
-8.500180413,11.37483771,-32.6,16.7,-1.1,14.2,2.212553893,0.3
-8.625173377,1.138588695,217.5,4.4,-1.1,8.7,3.010343894,0.2
-8.706916952,-4.043463514,79.2,15.4,-1.4,9.6,-2.706831137,0.2
-8.710424003,4.912078347,4.4,11.6,-1.9,10,2.628116788,0.2
-8.859619532,0.846842223,71.2,3.4,-0.6,8.9,3.046297676,0.2
-9.441791655,-13.40942096,-60.6,7.4,-0.7,16.4,-2.184279559,0.2
-9.366012501,10.40566239,-91.6,11.7,-1.1,14,2.30366008,0.2
-9.853711502,-7.193355937,310.4,14.3,-2.2,12.2,-2.511005195,0.2
-10.21095136,20.16175767,30.6,3,-1.6,22.6,2.039591764,0.1
-10.74764168,4.091234333,-24.9,10.2,-1.2,11.5,2.777866038,0.2
-10.94098192,1.872141703,-72.5,14.8,-0.9,11.1,2.972121183,0.3
-12.16443521,-12.30107784,-315,28.5,-2,17.3,-2.350609436,0.4
-12.07212323,-0.820878047,179.8,14.7,-1.2,12.1,-3.073699346,0.2
-13.36901913,4.480996271,-128.9,27.3,-1.7,14.1,2.818183143,0.6
-13.77077571,5.689968042,-27.2,20.9,-1.9,14.9,2.749766236,0.4
-14.80124041,10.41793082,-149.7,24.4,-0.7,18.1,2.528283954,0.3
-16.49751406,-1.841746449,75.5,23.2,-1.7,16.6,-3.03041518,0.7
-16.71207874,4.471736137,39.7,11.4,-0.9,17.3,2.880142332,0.2
-17.61869532,4.563066437,126.9,15.4,-1.2,18.2,2.888170846,0.2
-18.91451157,5.855019391,-8,15.5,-0.5,19.8,2.841396022,0.2
-43.83569072,9.718138666,16,13,1001,44.9,2.923426497,0.2
-48.51433668,22.31410174,68,6,1000,53.4,2.710496328,0.2
112.4221586,38.71005356,-11,21,1000,118.9,0.331612558,0.2
113.7955562,14.37572189,54,5,1000,114.7,0.125663706,0.2
87.95159771,88.25914378,-75,8,1001,124.6,0.787143493,0.2
91.68716963,41.39834448,136,8,1000,100.6,0.424115008,0.2
93.09768288,10.60714113,-24,3,1000,93.7,0.113446401,0.2
83.86284447,-19.0531708,-121,9,1001,86,-0.223402144,0.2
80.0269776,-37.31719251,-101,5,1001,88.3,-0.436332313,0.2
71.84309679,55.52665525,-127,21,1001,90.8,0.657989128,0.2
70.04188337,56.51667519,-118,10,1001,90,0.678933079,0.2
67.56534944,48.55062878,-131,13,1001,83.2,0.623082543,0.2
62.2493983,30.22668376,-158,6,1001,69.2,0.452040276,0.2
62.40731455,27.00605656,-154,11,1001,68,0.408407045,0.2
60.84612939,-61.05889401,-59,9,1001,86.2,-0.787143493,0.2
46.62193498,-20.17511284,-183,15,1000,50.8,-0.408407045,0.2
44.45206223,-6.326465314,75,9,1000,44.9,-0.141371669,0.2
41.82442406,-19.85969668,61,8,1000,46.3,-0.44331363,0.2
42.24107735,-33.47986536,45,3,1000,53.9,-0.670206433,0.2
38.43338855,-15.91963079,-213,16,1001,41.6,-0.392699082,0.2
37.64080538,-17.71241853,-245,18,1001,41.6,-0.439822972,0.2
38.56836582,-50.4453284,-39,9,1000,63.5,-0.918043187,0.2
33.65455893,8.453440909,222,9,1000,34.7,0.246091425,0.2
33.39994913,-0.058293967,-61,9,1000,33.4,-0.001745329,0.2
32.88831068,-18.83531312,-239,7,1001,37.9,-0.520108117,0.2
31.38201178,5.139001511,-85,12,1000,31.8,0.16231562,0.2
